LAT,LON,TIME,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
68.719756,-48.756411,42141.5866,1145.51,1791.0000,2005051401002,-105.84,1039.67,0
68.721528,-48.757114,42144.3238,1154.33,1780.5914,2005051401002,-119.05,1035.28,0
68.723305,-48.757701,42146.9852,1161.97,1769.1829,2005051401002,-128.68,1033.29,0
68.725086,-48.758221,42149.5844,1142.69,1757.7743,2005051401002,-138.94,1003.75,0
68.726874,-48.758446,42152.1381,1164.60,1749.1829,2005051401002,-146.39,1018.21,0
68.728664,-48.758400,42154.6586,1183.87,1743.0000,2005051401002,-150.85,1033.02,0
68.730453,-48.758217,42157.1637,1177.44,1742.2257,2005051401002,-148.99,1028.45,0
68.732236,-48.757804,42159.6707,1191.82,1744.0000,2005051401002,-144.25,1047.57,0
68.734018,-48.757324,42162.1801,1200.65,1744.0000,2005051401002,-143.33,1057.32,0
68.735801,-48.756880,42164.6879,1221.50,1743.0000,2005051401002,-143.35,1078.15,0
68.737586,-48.756484,42167.1931,1226.04,1744.0000,2005051401002,-143.35,1082.70,0
68.739373,-48.756189,42169.7004,1221.38,1745.0000,2005051401002,-143.35,1078.03,0
68.741160,-48.755924,42172.2078,1242.81,1743.5486,2005051401002,-142.71,1100.10,0
68.743075,-48.755579,42174.8881,1249.47,1741.0000,2005051401002,-143.38,1106.09,0
68.744930,-48.755202,42177.4739,1324.17,1737.1400,2005051401002,-143.35,1180.82,0
68.746788,-48.754961,42180.0453,1319.09,1730.9357,2005051401002,-144.48,1174.61,0
68.748647,-48.754782,42182.5960,1304.97,1724.7314,2005051401002,-150.87,1154.10,0
68.750507,-48.754650,42185.1269,1304.30,1720.5271,2005051401002,-152.00,1152.30,0
68.752367,-48.754599,42187.6485,1330.14,1718.6772,2005051401002,-152.09,1178.05,0
68.754227,-48.754562,42190.1719,1305.37,1722.8814,2005051401002,-148.30,1157.07,0
68.756087,-48.754502,42192.7142,1255.86,1726.0857,2005051401002,-138.93,1116.93,0
68.757947,-48.754442,42195.2753,1242.49,1728.2900,2005051401002,-130.05,1112.43,0
68.759807,-48.754418,42197.8475,1237.92,1728.0000,2005051401002,-120.82,1117.10,0
