LAT,LON,TIME,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
69.190454,-50.079856,44944.4771,  0.00,337.0048,2009033101001,308.03,308.03,1
69.188614,-50.064191,44957.4417,  0.00,280.9387,2009033101001,241.55,241.55,1
69.186558,-50.046235,44970.2583,  0.00,219.2351,2009033101001,181.59,181.59,1
69.184531,-50.028254,44983.2838,  0.00,172.1477,2009033101001,117.28,117.28,1
69.182728,-50.010044,44996.6229,  0.00,147.7935,2009033101001,117.28,117.28,1
69.180846,-49.991908,45010.5237,  0.00,141.8528,2009033101001,102.29,102.29,1
69.178550,-49.974149,45024.8408,  0.00,129.9227,2009033101001, 92.29, 92.29,1
69.176348,-49.956323,45039.4267,  0.00,121.4797,2009033101001, 82.29, 82.29,1
69.174484,-49.938150,45054.0746,  0.00,117.9800,2009033101001, 87.30, 87.30,1
69.172622,-49.920026,45069.0713,  0.00,135.0962,2009033101001, 97.28, 97.28,1
69.170599,-49.902020,45083.7411,  0.00,131.1104,2009033101001, 86.74, 86.74,1
69.168382,-49.884174,45098.0932,  0.00,142.1052,2009033101001, 92.29, 92.29,1
69.166383,-49.866151,45112.4786,  0.00,140.8396,2009033101001,102.82,102.82,1
69.164540,-49.847550,45127.1474,  0.00,144.3215,2009033101002,107.28,107.28,1
69.163869,-49.828815,45141.8955,  0.00,142.6239,2009033101002,107.28,107.28,1
69.163243,-49.809946,45156.1272,  0.00,145.2266,2009033101002, 87.30, 87.30,1
69.162298,-49.791306,45170.8425,  0.00,160.0132,2009033101002,127.28,127.28,1
69.160903,-49.772833,45185.1978,  0.00,149.6168,2009033101002,112.29,112.29,1
69.159914,-49.754147,45199.3518,  0.00,156.0717,2009033101002,111.64,111.64,1
69.158865,-49.735524,45213.4949,  0.00,156.2684,2009033101002, 86.73, 86.73,1
69.157901,-49.716818,45227.0718,  0.00,160.0972,2009033101002,117.28,117.28,1
69.143967,-49.620862,45306.1819,1405.23,225.2083,2009033101003, 97.28,1502.52,1
69.140363,-49.604940,45320.2238,1431.19,241.5088,2009033101003, 62.31,1493.50,1
69.137086,-49.588491,45334.8392,1428.11,271.6101,2009033101003, 58.34,1486.45,1
69.133304,-49.573059,45350.3360,1483.16,317.6953,2009033101003, 97.28,1580.45,1
69.129065,-49.558438,45365.4834,1459.82,329.7330,2009033101003,107.28,1567.10,1
69.124738,-49.543969,45379.9830,1377.00,316.7353,2009033101003, 82.30,1459.30,1
69.120446,-49.529464,45394.3117,1396.06,333.5289,2009033101003, 62.31,1458.38,1
69.111425,-49.495242,45427.5164,1641.54,406.7841,2009033101003, 72.31,1713.85,1
69.107432,-49.480114,45442.6359,1663.57,446.0341,2009033101003, 92.29,1755.86,1
69.103452,-49.465018,45457.8698,1600.95,460.4686,2009033101003, 97.28,1698.24,1
69.100635,-49.423000,45493.9558,1628.90,476.9429,2009033101004, 87.30,1716.20,1
69.102923,-49.405331,45508.5424,1600.73,512.8245,2009033101004, 79.94,1680.68,1
69.143707,-49.000612,45824.9826,2271.47,947.4570,2009033102001, 94.43,2365.90,1
69.147520,-48.985197,45838.0661,2279.71,976.6482,2009033102001,117.79,2397.50,1
69.150965,-48.968982,45850.4380,2065.00,986.3611,2009033102001,131.91,2196.91,1
69.154504,-48.952935,45862.1134,2085.00,984.7503,2009033102001,131.11,2216.12,1
69.158331,-48.937393,45873.4090,1992.91,978.8131,2009033102001,123.80,2116.71,1
69.162235,-48.922015,45884.6335,1969.24,978.3438,2009033102001,116.92,2086.16,1
69.165857,-48.906110,45895.9439,1928.93,969.8103,2009033102001, 95.19,2024.11,1
69.169190,-48.889692,45907.6722,1911.68,986.5212,2009033102001, 94.43,2006.11,1
69.173088,-48.874386,45920.0158,1982.51,1001.4493,2009033102001, 86.38,2068.89,1
69.177264,-48.859590,45932.2394,2013.65,998.4108,2009033102001, 64.46,2078.10,1
69.181331,-48.844429,45944.6198,2373.52,1013.8592,2009033102001, 64.46,2437.98,1
69.183199,-48.826748,45959.4433,2359.20,1057.2533,2009033102001, 95.11,2454.31,1
69.184159,-48.807942,45974.1951,2316.39,1066.9227,2009033102001, 86.94,2403.33,1
69.183953,-48.789164,45989.2658,2408.77,1091.6490,2009033102001,113.94,2522.70,1
69.184041,-48.770281,46003.4960,2224.20,1099.7372,2009033102001,109.42,2333.62,1
69.185557,-48.751861,46017.1750,2073.10,1118.6269,2009033102001,101.93,2175.03,1
69.186761,-48.733278,46030.9421,2198.09,1140.5151,2009033102001,108.24,2306.33,1
69.188057,-48.714749,46044.7637,2225.74,1161.3292,2009033102001,105.58,2331.33,1
69.193042,-48.642502,46096.3917,2076.25,1213.7001,2009033103001,116.92,2193.17,1
69.194042,-48.623808,46109.3759,2094.91,1223.5783,2009033103001,111.46,2206.37,1
69.194998,-48.605103,46122.1157,2105.79,1226.2976,2009033103001,101.93,2207.72,1
69.195892,-48.586332,46134.6818,2084.36,1244.0578,2009033103001,107.45,2191.81,1
69.197120,-48.567791,46147.3667,2120.51,1247.8666,2009033103001,101.15,2221.66,1
69.198477,-48.549292,46159.9693,2151.07,1254.2119,2009033103001, 88.40,2239.47,1
69.199465,-48.530666,46172.7629,2058.40,1266.4649,2009033103001,108.07,2166.48,1
69.200566,-48.511933,46185.9474,1992.25,1285.9169,2009033103001,115.57,2107.82,1
69.201479,-48.493231,46199.4211,2013.25,1307.6380,2009033103001,118.83,2132.08,1
69.212189,-48.132906,46476.3474,2519.32,1491.6320,2009033104001,112.29,2631.61,1
69.212796,-48.114053,46491.0160,2367.16,1491.5042,2009033104001,112.29,2479.45,1
69.212682,-48.095155,46505.7662,2219.88,1487.9482,2009033104001,102.29,2322.17,1
69.212482,-48.076232,46520.1954,2155.18,1490.1619,2009033104001, 92.29,2247.47,1
69.212888,-48.057333,46534.5653,2168.43,1494.6253,2009033104001, 82.29,2250.73,1
69.213137,-48.038448,46549.1236,2205.01,1502.6313,2009033104001, 82.29,2287.31,1
69.213328,-48.019505,46563.5659,2319.00,1512.7882,2009033104001, 82.29,2401.29,1
69.213459,-48.000650,46578.3175,2191.90,1525.5725,2009033104001, 87.30,2279.20,1
