LAT,LON,TIME,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
77.691195,-68.506892,45972.1955,  0.00,5632.9264,2013032101001,5337.98,5337.98,1
77.704126,-68.492182,45981.0369,115.24,5630.9769,2013032101001,5441.16,5556.39,1
77.717161,-68.477129,45989.8705,265.77,5630.9205,2013032101001,5424.14,5689.91,1
77.730187,-68.461851,45998.7113,  0.00,5635.8875,2013032101001,5330.11,5330.11,1
77.743196,-68.446244,46007.5364,  0.00,5640.6324,2013032101001,5119.08,5119.08,1
77.756182,-68.430254,46016.3031,  0.00,5640.9878,2013032101001,5160.92,5160.92,1
77.769153,-68.413973,46024.9984,  0.00,5636.6112,2013032101001,5237.51,5237.51,1
77.782104,-68.397319,46033.6402,  0.00,5632.1051,2013032101001,4941.58,4941.58,1
77.795032,-68.380220,46042.2574,170.86,5632.2244,2013032101001,5010.82,5181.68,1
77.807924,-68.362510,46050.8556,351.27,5636.8789,2013032101001,4953.47,5304.74,1
77.820775,-68.344105,46059.4098,  0.00,5641.4085,2013032101001,4966.74,4966.74,1
77.833592,-68.325226,46067.9005,125.70,5640.3219,2013032101001,4794.19,4919.89,1
77.846380,-68.305852,46076.3329,200.47,5638.7317,2013032101001,4734.44,4934.91,1
77.859245,-68.287631,46084.7374,185.27,5640.4786,2013032101001,4667.65,4852.92,1
77.872214,-68.271193,46093.1278,239.44,5643.7223,2013032101001,4586.49,4825.94,1
77.885186,-68.254697,46101.4886,277.65,5644.0432,2013032101001,4546.79,4824.44,1
77.898171,-68.238554,46109.8207,336.56,5646.0558,2013032101001,4501.81,4838.37,1
77.911177,-68.222696,46118.1218,421.49,5646.5024,2013032101001,4461.85,4883.35,1
77.924200,-68.207123,46126.3865,673.93,5643.6079,2013032101001,4451.86,5125.79,1
77.937238,-68.191843,46134.6178,423.23,5641.1078,2013032101001,4411.88,4835.11,1
77.950290,-68.176858,46142.8285,584.06,5639.6869,2013032101001,4366.91,4950.97,1
77.963359,-68.162154,46151.0337,684.62,5640.0402,2013032101001,4371.92,5056.53,1
77.976441,-68.147727,46159.2393,540.45,5640.2702,2013032101001,4341.94,4882.39,1
77.989536,-68.133559,46167.4399,560.23,5642.7468,2013032101001,4306.95,4867.18,1
78.002643,-68.119609,46175.6198,610.90,5646.8748,2013032101001,4281.98,4892.88,1
78.015761,-68.105920,46183.7580,636.25,5648.8452,2013032101001,4261.97,4898.22,1
78.028891,-68.092518,46191.8520,644.68,5646.4849,2013032101001,4237.01,4881.69,1
78.042038,-68.079396,46199.9156,644.69,5644.3592,2013032101001,4232.01,4876.69,1
78.055194,-68.066519,46207.9754,667.20,5645.0920,2013032101001,4217.02,4884.22,1
78.068359,-68.053847,46216.0531,698.17,5648.2081,2013032101001,4202.03,4900.20,1
78.081502,-68.040685,46224.1408,723.78,5651.1148,2013032101001,4207.04,4930.81,1
78.094544,-68.025330,46232.2107,723.51,5654.5514,2013032101001,4212.02,4935.53,1
